date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:38	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:38%20GMT	https://coredgex.com/robots.txt		(from )
01:47:39	211640/211640	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:38%20GMT	https://coredgex.com/	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/index.html	(from )
01:47:39	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:39%20GMT	https://coredgex.com/feed.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/feed.php	(from https://coredgex.com/)
01:47:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:39%20GMT	https://coredgex.com/comments/feed.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/comments/feed.php	(from https://coredgex.com/)
01:47:40	164360/164360	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/11/exchange.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/11/exchange.jpg	(from https://coredgex.com/)
01:47:40	46256/46256	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/themes/astra/assets/css/minified/frontend.min2e46.css?ver=3.9.2	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/themes/astra/assets/css/minified/frontend.min2e462e46.css	(from https://coredgex.com/)
01:47:40	3304/3304	---M--	200	added ('OK')	font/woff	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://coredgex.com/)
01:47:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:40%20GMT	https://coredgex.com/images/themes/astra/assets/fonts/astra.ttf	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/images/themes/astra/assets/fonts/astra.ttf	(from https://coredgex.com/)
01:47:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:41%20GMT	https://coredgex.com/images/themes/astra/assets/fonts/astra.svg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/images/themes/astra/assets/fonts/astra.svg	(from https://coredgex.com/)
01:47:41	104484/104484	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2003:15:40%20GMT	https://coredgex.com/wp-includes/css/dist/block-library/style.min9b30.css?ver=6.3.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/css/dist/block-library/style.min9b309b30.css	(from https://coredgex.com/)
01:47:41	23448/23448	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/css/stylec245.css?ver=1.8.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/css/stylec245c245.css	(from https://coredgex.com/)
01:47:42	22369/22369	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/css/datatable-stylec245.css?ver=1.8.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/css/datatable-stylec245c245.css	(from https://coredgex.com/)
01:47:42	776/776	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css?ver=1.6.13	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f621f62.css	(from https://coredgex.com/)
01:47:42	19303/19303	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css?ver=5.16.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce91ce.css	(from https://coredgex.com/)
01:47:43	103736/103736	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/css/frontend-lite.min9e95.css?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/css/frontend-lite.min9e959e95.css	(from https://coredgex.com/)
01:47:43	1373/1373	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/elementor/css/post-320cc0c.css?ver=1667537528	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/elementor/css/post-320cc0ccc0c.css	(from https://coredgex.com/)
01:47:43	68423/68423	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/elementor/css/post-67c69.css?ver=1668444941	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/elementor/css/post-67c697c69.css	(from https://coredgex.com/)
01:47:44	75684/75684	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend1f62.css?ver=1.6.13	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend1f621f62.css	(from https://coredgex.com/)
01:47:44	57912/57912	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css?ver=5.15.3	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d552d5.css	(from https://coredgex.com/)
01:47:44	673/673	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css?ver=5.15.3	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d552d5.css	(from https://coredgex.com/)
01:47:44	681/681	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css?ver=5.15.3	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d552d5.css	(from https://coredgex.com/)
01:47:45	20398/20398	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min9215.css?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min92159215.css	(from https://coredgex.com/)
01:47:45	87482/87482	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:15:40%20GMT	https://coredgex.com/wp-includes/js/jquery/jquery.min3088.js?ver=3.7.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/js/jquery/jquery.min30883088.js	(from https://coredgex.com/)
01:47:46	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2003:15:40%20GMT	https://coredgex.com/wp-includes/js/jquery/jquery-migrate.min5589.js?ver=3.4.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/js/jquery/jquery-migrate.min55895589.js	(from https://coredgex.com/)
01:47:46	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:46%20GMT	https://coredgex.com/wp-json.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-json.php	(from https://coredgex.com/)
01:47:46	85325/85325	---M-Z	200	added ('OK')	application/json	date:Mon,%2004%20Sep%202023%2014:27:05%20GMT	https://coredgex.com/wp-json/wp/v2/pages/6.json	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-json/wp/v2/pages/6.json	(from https://coredgex.com/)
01:47:46	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:46%20GMT	https://coredgex.com/xmlrpc0db0.php?rsd	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/xmlrpc0db00db0.php	(from https://coredgex.com/)
01:47:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:47:47%20GMT	https://coredgex.com/index.html	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/index-2.html	(from https://coredgex.com/)
01:47:47	2514/2514	---M-Z	200	added ('OK')	application/json	date:Mon,%2004%20Sep%202023%2014:27:08%20GMT	https://coredgex.com/wp-json/oembed/1.0/embed1e3c.json?url=https%3A%2F%2Fhttp://coredgex.com%2F	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-json/oembed/1.0/embed1e3cf545.json	(from https://coredgex.com/)
01:47:47	2928/2928	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2014:27:09%20GMT	https://coredgex.com/wp-json/oembed/1.0/embed84c0?url=https%3A%2F%2Fhttp://coredgex.com%2F&format=xml	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-json/oembed/1.0/embed84c02e29.html	(from https://coredgex.com/)
01:47:48	88610/88610	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min92159215.js	(from https://coredgex.com/)
01:47:48	13909/13909	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min92159215.js	(from https://coredgex.com/)
01:47:48	211105/211105	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min92159215.js	(from https://coredgex.com/)
